time, N, D, A, C
261 , 14675 , 402 , 119572 , 950
262 , 14665 , 411 , 119565 , 959
263 , 14680 , 410 , 119551 , 953
264 , 14686 , 411 , 119536 , 959
265 , 14673 , 408 , 119544 , 962
266 , 14673 , 408 , 119559 , 949
267 , 14666 , 404 , 119572 , 947
268 , 14658 , 407 , 119558 , 971
269 , 14653 , 404 , 119557 , 979
270 , 14644 , 405 , 119567 , 979
271 , 14654 , 401 , 119582 , 962
272 , 14633 , 408 , 119592 , 975
273 , 14638 , 406 , 119592 , 977
274 , 14623 , 406 , 119598 , 988
275 , 14616 , 406 , 119611 , 989
276 , 14610 , 410 , 119629 , 972
277 , 14619 , 408 , 119633 , 962
278 , 14626 , 406 , 119639 , 950
279 , 14631 , 401 , 119636 , 951
280 , 14637 , 403 , 119639 , 940
281 , 14645 , 402 , 119652 , 922
282 , 14633 , 401 , 119659 , 930
283 , 14625 , 405 , 119661 , 934
284 , 14636 , 404 , 119653 , 933
285 , 14631 , 403 , 119643 , 948
286 , 14622 , 407 , 119643 , 954
287 , 14636 , 403 , 119627 , 961
288 , 14627 , 405 , 119643 , 951
289 , 14628 , 409 , 119649 , 945
290 , 14645 , 408 , 119661 , 916
291 , 14661 , 408 , 119659 , 897
292 , 14681 , 409 , 119641 , 889
293 , 14689 , 409 , 119623 , 891
294 , 14682 , 403 , 119619 , 896
295 , 14695 , 406 , 119594 , 906
296 , 14676 , 411 , 119593 , 916
297 , 14680 , 404 , 119581 , 928
298 , 14667 , 410 , 119574 , 942
299 , 14668 , 412 , 119560 , 956
300 , 14678 , 404 , 119545 , 966
301 , 14676 , 405 , 119527 , 985
302 , 14673 , 403 , 119522 , 995
303 , 14673 , 407 , 119523 , 997
304 , 14671 , 407 , 119528 , 992
305 , 14667 , 407 , 119526 , 996
306 , 14672 , 405 , 119548 , 968
307 , 14668 , 409 , 119575 , 944
308 , 14684 , 405 , 119582 , 922
309 , 14684 , 406 , 119577 , 926
310 , 14692 , 406 , 119564 , 931
311 , 14697 , 408 , 119561 , 922
312 , 14713 , 411 , 119535 , 928
313 , 14726 , 404 , 119517 , 933
314 , 14728 , 405 , 119512 , 931
315 , 14734 , 406 , 119506 , 924
316 , 14732 , 410 , 119510 , 915
317 , 14745 , 408 , 119501 , 911
318 , 14746 , 408 , 119494 , 912
319 , 14757 , 407 , 119480 , 915
320 , 14733 , 413 , 119499 , 911
321 , 14752 , 410 , 119476 , 920
322 , 14754 , 410 , 119454 , 933
323 , 14750 , 415 , 119436 , 947
324 , 14748 , 422 , 119414 , 966
325 , 14735 , 414 , 119398 , 991
326 , 14716 , 416 , 119405 , 1004
327 , 14696 , 415 , 119414 , 1016
328 , 14702 , 409 , 119429 , 1009
329 , 14687 , 414 , 119430 , 1028
330 , 14703 , 404 , 119440 , 1015
331 , 14685 , 408 , 119456 , 1020
332 , 14691 , 405 , 119471 , 1004
333 , 14688 , 407 , 119484 , 997
334 , 14699 , 400 , 119502 , 975
335 , 14689 , 403 , 119506 , 984
336 , 14692 , 401 , 119507 , 982
337 , 14693 , 400 , 119514 , 973
338 , 14699 , 402 , 119518 , 961
339 , 14689 , 405 , 119512 , 973
340 , 14698 , 404 , 119515 , 958
341 , 14709 , 401 , 119506 , 956
342 , 14700 , 401 , 119502 , 969
343 , 14704 , 398 , 119507 , 965
